FID,STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,X,Y
0,31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020, , , ,A,1477652222.000000000000000,10690952.000000000000000,+41.9158651,-096.7885168,-96.7873993,41.9164009
1,53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020, , , ,A,680962890.000000000000000,61582307.000000000000000,+46.2946377,-123.4244583,-123.4329987,46.2910995
2,35,011,00933054,35011,De Baca,De Baca County,06,H1,G4020, , , ,A,6016819475.000000000000000,29089486.000000000000000,+34.3592729,-104.3686961,-104.4120026,34.3423996
3,31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700, ,A,2169270569.000000000000000,22849484.000000000000000,+40.7835474,-096.6886584,-96.6877975,40.7841988
4,31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020, , , ,A,1489645188.000000000000000,1718484.000000000000000,+40.1764918,-098.0468422,-98.0472031,40.1763992
5,72,085,01804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980, ,A,87748359.000000000000000,32509.000000000000000,+18.1871483,-065.8711890,-65.8693008,18.1875000
6,46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020, ,43620, ,A,2089691755.000000000000000,18198481.000000000000000,+43.6674723,-096.7957261,-96.7913971,43.6741982
7,48,327,01383949,48327,Menard,Menard County,06,H1,G4020, , , ,A,2336237982.000000000000000,613559.000000000000000,+30.8852677,-099.8588613,-99.8206024,30.8897991
8,06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020, , , ,A,2468694583.000000000000000,23299110.000000000000000,+39.5769252,-120.5219926,-120.5159988,39.5803986
9,21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020, , , ,A,510875755.000000000000000,21152699.000000000000000,+36.7272577,-085.1360977,-85.1360016,36.7275009
10,39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,534,22300, ,A,1376125660.000000000000000,6020647.000000000000000,+41.0004711,-083.6660335,-83.6664963,41.0018997
11,48,189,01383880,48189,Hale,Hale County,06,H1,G4020,352,38380, ,A,2602109427.000000000000000,246678.000000000000000,+34.0684364,-101.8228879,-101.8270035,34.0704994
12,01,027,00161539,01027,Clay,Clay County,06,H1,G4020, , , ,A,1564251834.000000000000000,5285207.000000000000000,+33.2703999,-085.8635254,-85.8604965,33.2691002
13,48,011,01383791,48011,Armstrong,Armstrong County,06,H1,G4020,108,11100, ,A,2354581674.000000000000000,12219583.000000000000000,+34.9641790,-101.3566363,-101.3570023,34.9649010
14,39,003,01074015,39003,Allen,Allen County,06,H1,G4020,338,30620, ,A,1042479889.000000000000000,11259523.000000000000000,+40.7716274,-084.1061032,-84.1057968,40.7714996
15,13,189,00348794,13189,McDuffie,McDuffie County,06,H1,G4020, ,12260, ,A,666848710.000000000000000,23114025.000000000000000,+33.4796231,-082.4787331,-82.4813995,33.4828987
16,55,111,01581115,55111,Sauk,Sauk County,06,H1,G4020,357,12660, ,A,2153685971.000000000000000,45692999.000000000000000,+43.4280010,-089.9433184,-89.9481964,43.4267006
17,05,137,00069902,05137,Stone,Stone County,06,H1,G4020, , , ,A,1570754768.000000000000000,7842161.000000000000000,+35.8570011,-092.1404819,-92.1567001,35.8599014
18,41,063,01155135,41063,Wallowa,Wallowa County,06,H1,G4020, , , ,A,8147835329.000000000000000,14191752.000000000000000,+45.5937530,-117.1855796,-117.1809998,45.5798988
19,42,007,01214112,42007,Beaver,Beaver County,06,H1,G4020,430,38300, ,A,1125901370.000000000000000,24162727.000000000000000,+40.6841401,-080.3507209,-80.3492966,40.6823006
20,28,061,00695754,28061,Jasper,Jasper County,06,H1,G4020,279,29860, ,A,1751454613.000000000000000,3178416.000000000000000,+32.0169894,-089.1194302,-89.1188965,32.0191002
21,29,083,00758496,29083,Henry,Henry County,06,H1,G4020, , , ,A,1805078265.000000000000000,91634021.000000000000000,+38.3864909,-093.7926278,-93.7927017,38.3852005
22,08,109,00198170,08109,Saguache,Saguache County,06,H1,G4020, , , ,A,8206547705.000000000000000,4454510.000000000000000,+38.0316514,-106.2346662,-106.2819977,38.0806007
23,37,037,01008544,37037,Chatham,Chatham County,06,H1,G4020,450,20500, ,A,1765648430.000000000000000,70626784.000000000000000,+35.7049939,-079.2514542,-79.2553024,35.7025986
24,49,033,01448030,49033,Rich,Rich County,06,H1,G4020, , , ,A,2664700960.000000000000000,149106532.000000000000000,+41.6275976,-111.2402269,-111.2450027,41.6323013
25,40,001,01101788,40001,Adair,Adair County,06,H1,G4020, , , ,A,1486277939.000000000000000,8874158.000000000000000,+35.8980428,-094.6510258,-94.6586990,35.8838997
26,39,085,01074055,39085,Lake,Lake County,06,H1,G4020,184,17460, ,A,593807218.000000000000000,1942301625.000000000000000,+41.9241163,-081.3926429,-81.2509003,41.9104004
27,51,775,01789074,51775,Salem,Salem city,25,C7,G4020, ,40220, ,F,37602710.000000000000000,275156.000000000000000,+37.2853329,-080.0552407,-80.0554962,37.2863998
28,51,121,01674630,51121,Montgomery,Montgomery County,06,H1,G4020, ,13980, ,A,1001921573.000000000000000,6289787.000000000000000,+37.1755344,-080.3877913,-80.3871994,37.1743011
29,47,065,01639749,47065,Hamilton,Hamilton County,06,H1,G4020,174,16860, ,A,1404722581.000000000000000,86573147.000000000000000,+35.1634720,-085.2018432,-85.1648026,35.1809006
30,35,035,00929104,35035,Otero,Otero County,06,H1,G4020, ,10460, ,A,17126456785.000000000000000,36943378.000000000000000,+32.6155988,-105.7513079,-105.7409973,32.6130981
